GISAID accession,GISAID name,Sample Date,Sample Name,Sample File 1,Sample File 2
EPI_ISL_13052339,hCoV-19/env/Hubei/IVDC-0262/2020,2020-01-01,E48,V300046953_L03_1_1.fg.gz,V300046953_L03_1_2.fg.gz
EPI_ISL_13052339,hCoV-19/env/Hubei/IVDC-0262/2020,2020-01-01,E48,V300046953_L04_1_1.fg.gz,V300046953_L04_1_2.fg.gz
EPI_ISL_13052340,hCoV-19/env/Hubei/IVDC-0275/2020,2020-01-01,E61,V300046953_L01_33_1.fq.gz,V300046953_L01_33_2.fq.gz
EPI_ISL_13052340,hCoV-19/env/Hubei/IVDC-0275/2020,2020-01-01,E61,V300046953_L02_33_1.fq.gz,V300046953_L02_33_1.fq.gz
EPI_ISL_13052340,hCoV-19/env/Hubei/IVDC-0275/2020,2020-01-01,E61,V300046953_L03_33_1.fq.gz,V300046953_L03_33_1.fq.gz
EPI_ISL_13052340,hCoV-19/env/Hubei/IVDC-0275/2020,2020-01-01,E61,V300046953_L04_33_1.fq.gz,V300046953_L04_33_1.fq.gz
EPI_ISL_13052343,hCoV-19/env/Hubei/IVDC-0313/2020,2020-01-01,F13,V300052234_L01_22_1.fg.gz,V300052234_L01_22_2.fg.gz
EPI_ISL_13052343,hCoV-19/env/Hubei/IVDC-0313/2020,2020-01-01,F13,V300052234_L02_22_1.fg.gz,V300052234_L02_22_2.fg.gz
EPI_ISL_13052343,hCoV-19/env/Hubei/IVDC-0313/2020,2020-01-01,F13,V300052234_L03_22_1.fg.gz,V300052234_L03_22_2.fg.gz
EPI_ISL_13052343,hCoV-19/env/Hubei/IVDC-0313/2020,2020-01-01,F13,V300052234_L04_22_1.fg.gz,V300052234_L04_22_2.fg.gz
EPI_ISL_13052344,hCoV-19/env/Hubei/IVDC-0346/2020,2020-01-01,F46,V300046953_L01_10_1.fg.gz,V300046953_L01_10_2.fg.gz
EPI_ISL_13052344,hCoV-19/env/Hubei/IVDC-0346/2020,2020-01-01,F46,V300046953_L02_10_1.fg.gz,V300046953_L02_10_2.fg.gz
EPI_ISL_13052344,hCoV-19/env/Hubei/IVDC-0346/2020,2020-01-01,F46,V300046953_L03_10_1.fg.gz,V300046953_L03_10_3.fg.gz
EPI_ISL_13052344,hCoV-19/env/Hubei/IVDC-0346/2020,2020-01-01,F46,V300046953_L04_10_1.fg.gz,V300046953_L04_10_4.fg.gz
EPI_ISL_13052345,hCoV-19/env/Hubei/IVDC-0354/2020,2020-01-01,F54,V300052234_L01_3_1.fq.gz,V300052234_L01_3_2.fq.gz
EPI_ISL_13052345,hCoV-19/env/Hubei/IVDC-0354/2020,2020-01-01,F54,V300052234_L02_3_1.fq.gz,V300052234_L02_3_2.fq.gz
EPI_ISL_13052345,hCoV-19/env/Hubei/IVDC-0354/2020,2020-01-01,F54,V300052234_L03_3_1.fq.gz,V300052234_L03_3_2.fq.gz
EPI_ISL_13052345,hCoV-19/env/Hubei/IVDC-0354/2020,2020-01-01,F54,V300052234_L04_3_1.fq.gz,V300052234_L04_3_2.fq.gz
EPI_ISL_13052346,hCoV-19/env/Hubei/IVDC-0398/2020,2020-01-01,F98,V300052234_L01_25_1.fq.gz,V300052234_L01_25_2.fq.gz
EPI_ISL_13052346,hCoV-19/env/Hubei/IVDC-0398/2020,2020-01-01,F98,V300052234_L02_25_1.fq.gz,V300052234_L02_25_2.fq.gz
EPI_ISL_13052346,hCoV-19/env/Hubei/IVDC-0398/2020,2020-01-01,F98,V300052234_L03_25_1.fq.gz,V300052234_L03_25_2.fq.gz
EPI_ISL_13052346,hCoV-19/env/Hubei/IVDC-0398/2020,2020-01-01,F98,V300052234_L04_25_1.fq.gz,V300052234_L04_25_2.fq.gz
EPI_ISL_13052342,hCoV-19/env/Hubei/IVDC-0400/2020,2020-01-01,F100,V300046953_L01_30_1.fo.gz,V300046953_L01_30_2.fo.gz
EPI_ISL_13052342,hCoV-19/env/Hubei/IVDC-0400/2020,2020-01-01,F100,V300046953_L02_30_1.fo.gz,V300046953_L02_30_2.fo.gz
EPI_ISL_13052342,hCoV-19/env/Hubei/IVDC-0400/2020,2020-01-01,F100,V300046953_L03_30_1.fo.gz,V300046953_L03_30_2.fo.gz
EPI_ISL_13052342,hCoV-19/env/Hubei/IVDC-0400/2020,2020-01-01,F100,V300046953_L04_30_1.fo.gz,V300046953_L04_30_2.fo.gz
EPI_ISL_13052297,hCoV-19/env/Hubei/IVDC-0552/2020,2020-01-12,Q37,NA,NA
EPI_ISL_13052298,hCoV-19/env/Hubei/IVDC-0576/2020,2020-01-12,Q61,E100000803_L01_36.fg.gz,NA
EPI_ISL_13052299,hCoV-19/env/Hubei/IVDC-0579/2020,2020-01-12,Q64,E100000803_L01_40.fo.gz,NA
EPI_ISL_13052300,hCoV-19/env/Hubei/IVDC-0583/2020,2020-01-12,Q68,E100000804_L01_16.fq.gz,NA
EPI_ISL_13052301,hCoV-19/env/Hubei/IVDC-0584/2020,2020-01-12,Q69,E100000804_L01_17.fq.qz,NA
EPI_ISL_13052302,hCoV-19/env/Hubei/IVDC-0585/2020,2020-01-12,Q70,E100000804_L01_20.fq.gz,NA
EPI_ISL_13052303,hCoV-19/env/Hubei/IVDC-0686/2020,2020-01-29,1-29-8,E100001221_L01_28_1.fq.gz,E100001221_L01_28_2.fq.gz
EPI_ISL_13052304,hCoV-19/env/Hubei/IVDC-0719/2020,2020-02-03,8-25-M1,E100001335_L01_43_1.fq.gz,E100001335_L01_43_2.fq.gz
EPI_ISL_13052305,hCoV-19/env/Hubei/IVDC-0742/2020,2020-02-05,WS-1-1,E100001425_L01_2_1.fq.gz,E100001425_L01_2_2.fq.gz
EPI_ISL_13052306,hCoV-19/env/Hubei/IVDC-0746/2020,2020-02-05,WS-2-1,E100001425_L01_4_1.fq.gz,E100001425_L01_4_2.fq.gz
EPI_ISL_13052307,hCoV-19/env/Hubei/IVDC-0748/2020,2020-02-05,WS-2-3,E100001425_L01_5_1.fq.gz,E100001425_L01_5_2.fq.gz
