Filename,Location,Sample_name,Erinaceus amurensis,Sus scrofa,Rattus norvegicus,Oryctolagus cuniculus,Canis lupus,Erinaceus europaeus,Hemiechinus auritus,Bos taurus,Homo sapiens,Nyctereutes procyonoides,Marmota himalayana,Mustela sibirica,Arctonyx collaris,Rhizomys pruinosus,Vulpes zerda,Ovis orientalis,Urocyon cinereoargenteus,Capra aegagrus,Felis margarita,Paguma larvata,Rattus tiomanicus,Otocyon megalotis,Muntiacus putaoensis,Hystrix brachyura
V300052234_L04_3_1,West market,F54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300052234_L04_3_2,West market,F54,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300052234_L04_4_1,West market,A61,0,510,0,10,7,0,0,15,43,0,0,0,0,0,0,983,0,105,0,0,0,0,0,0
V300052234_L04_4_2,West market,A61,0,509,0,10,7,0,0,17,45,0,0,0,0,0,0,969,0,107,0,0,0,0,0,0
V300052234_L04_5_1,West market,A20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300052234_L04_5_2,West market,A20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300052234_L04_6_1,West market,A18,0,8,0,0,0,0,0,14,217,0,0,0,0,0,0,56,0,6,0,0,0,0,0,0
V300052234_L04_6_2,West market,A18,0,8,0,0,0,0,0,12,216,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0
V300052234_L04_7_1,West market,A2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,33,0,0,77,0,0,0,0,0
V300052234_L04_7_2,West market,A2,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,34,0,0,75,0,0,0,0,0
V300052234_L04_8_1,West market,A63,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0
V300052234_L04_8_2,West market,A63,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0
